Customer,Risk,Amount
Corporation,Medium,31501
Corporation,Low,320669
Instituition,Low,373491
Individual,Medium,374467
SME,Medium,447662
Instituition,Low,429056
SME,Medium,405596
Instituition,High,543511
SME,Medium,80945
Instituition,Low,234977
SME,Low,404567
Individual,Low,405398
SME,High,531483
Instituition,High,513964
Corporation,Medium,486787
Corporation,Low,37073
SME,Medium,269033
SME,Medium,499028
Corporation,Medium,381150
Individual,Medium,582445
SME,High,190563
Corporation,Medium,294867
SME,Low,527798
SME,High,416255
Corporation,Medium,486448
Instituition,High,92994
Individual,Medium,297853
Corporation,Low,406781
Corporation,Medium,400262
SME,High,314367
Corporation,High,32357
Individual,High,98647
Corporation,Low,470839
Individual,High,89132
Corporation,High,588742
SME,High,46271
Instituition,Low,80139
Instituition,Medium,82342
Instituition,Medium,411983
Instituition,Medium,468131
Instituition,Low,421631
Individual,Low,419184
SME,Low,284950
Individual,High,67527
Individual,Low,318844
Instituition,Medium,549103
Individual,Medium,100496
Instituition,High,174974
Individual,Low,568276
SME,Medium,488013
SME,Low,532659
Corporation,Medium,97342
Instituition,High,103209
SME,High,363005
Corporation,Medium,570725
Instituition,High,523383
Individual,High,471568
SME,Low,380660
Corporation,High,536283
Corporation,High,488644
Individual,High,514676
Corporation,Low,488631
Corporation,High,476372
SME,Low,108087
Instituition,High,48758
Individual,Low,201733
Corporation,Low,251768
Individual,High,385905
Individual,Medium,240858
SME,High,429090
SME,Medium,463582
SME,Low,408476
Instituition,High,228989
Individual,Medium,392404
Instituition,Medium,459350
SME,High,145096
SME,Medium,580053
Individual,Low,251191
Corporation,Medium,128232
Instituition,Medium,332671
Individual,Medium,41750
Instituition,Medium,265365
Instituition,High,468125
Individual,Medium,463852
Instituition,Low,259048
Instituition,High,94722
Instituition,High,110479
Individual,High,145266
SME,Medium,465856
SME,High,589494
SME,Low,177811
Corporation,Medium,398752
Instituition,Low,340378
Individual,Low,177047
SME,High,509339
Instituition,Medium,501358
Corporation,High,353389
SME,High,363580
Instituition,High,129962
Corporation,Medium,379627
Instituition,Low,413265
Instituition,High,236282
Instituition,High,265317
SME,High,136385
Instituition,Medium,533937
SME,High,459729
Individual,High,333257
Individual,Low,240029
Individual,Medium,229017
Individual,High,428842
Instituition,Medium,256520
Individual,High,258074
Individual,High,412252
Corporation,High,276737
SME,Medium,416300
Instituition,Medium,25377
SME,Medium,433051
Corporation,High,450457
SME,Medium,279538
Corporation,Low,253269
Instituition,Low,433276
Corporation,Medium,235138
Corporation,Low,193622
Corporation,Low,35130
Instituition,High,75321
Instituition,High,525575
Individual,Medium,172484
Instituition,Low,592147
SME,Low,122864
SME,Medium,182191
SME,Low,433310
Instituition,Low,343387
Individual,High,371386
SME,Medium,134502
Corporation,High,254675
Instituition,High,560270
Instituition,High,107159
Individual,Low,159728
Corporation,Low,535282
SME,Medium,500158
SME,Medium,49856
Corporation,Medium,312874
Instituition,Low,178059
Corporation,Low,308491
Individual,Medium,79405
Instituition,High,342494
Individual,Medium,432301
SME,Low,26818
Corporation,Medium,79021
SME,High,564915
Corporation,Low,442531
Instituition,Medium,300582
Corporation,Medium,491278
Individual,Medium,438169
Instituition,Low,106897
Corporation,High,486617
Corporation,High,564817
Corporation,High,448045
Instituition,Medium,524090
SME,Low,439622
SME,Low,162398
SME,Low,260113
Individual,Low,503529
Individual,Medium,207799
Corporation,Medium,61844
Individual,Medium,152091
Instituition,Medium,367452
SME,High,241599
Corporation,High,539807
Individual,High,428845
Individual,High,595488
Individual,Medium,197670
SME,Low,293764
Individual,Low,586593
Individual,Low,175184
Individual,Low,65149
Instituition,High,365366
SME,Medium,296373
Individual,Medium,135042
Individual,Medium,106079
Individual,Medium,566201
Instituition,High,586813
SME,Low,246039
Individual,Low,539781
Instituition,Low,447711
SME,High,308460
Individual,Low,422084
Individual,High,226793
Corporation,Low,151194
Instituition,Low,249920
Instituition,Low,56085
SME,High,105465
SME,High,234915
Corporation,Medium,381014
SME,Low,464434
SME,High,36967
Individual,Low,134854
Corporation,High,321537
Individual,High,48685
Instituition,Medium,365095
Individual,High,215814
Individual,Low,470456
Instituition,Medium,439037
Corporation,High,506893
SME,High,281154
Corporation,Medium,559067
Instituition,High,374478
Individual,Medium,123743
Individual,High,33053
Corporation,Medium,473828
Corporation,High,225421
Corporation,High,132017
Instituition,Medium,595683
Corporation,Low,522324
SME,High,367117
SME,Low,256597
Corporation,Medium,569353
SME,Medium,381312
Corporation,Medium,495788
Corporation,Medium,74303
Instituition,High,73566
SME,High,452685
SME,High,446211
Corporation,Low,63589
Instituition,Medium,528212
Individual,High,370841
Individual,Medium,594505
Individual,Low,109498
Instituition,Low,353728
SME,Low,267014
Instituition,Low,512067
SME,High,181767
Individual,High,227170
SME,Medium,319990
SME,High,122307
SME,High,72368
Individual,Medium,213079
SME,High,126209
Corporation,High,215923
Instituition,Low,510181
Instituition,Low,471749
SME,High,95559
SME,Medium,456105
Corporation,High,459022
Individual,Low,55594
Individual,High,577356
Instituition,Low,448003
SME,High,409933
Individual,Low,406082
Individual,High,387547
Corporation,Medium,35761
SME,High,145683
Instituition,Low,427531
SME,Low,201062
Corporation,Low,66793
Instituition,Low,233300
Corporation,High,399791
Instituition,Low,174238
SME,High,405317
Instituition,Medium,172136
Corporation,Low,471533
Instituition,Medium,124210
Instituition,High,306078
SME,Medium,202902
SME,Medium,179214
Instituition,High,225578
Instituition,Low,572070
Individual,High,312514
Corporation,High,478454
SME,High,147837
SME,High,92415
Individual,High,568495
Corporation,Low,252696
Corporation,Low,32610
Individual,Low,541855
Instituition,Medium,358829
Corporation,Medium,454576
SME,High,196581
Instituition,High,598627
Instituition,Low,288036
Corporation,Low,103828
Individual,Medium,238298
Individual,High,45163
SME,Medium,312413
SME,High,353854
SME,High,510855
SME,Low,282681
Individual,Low,558789
Individual,Low,285867
Instituition,High,214175
Instituition,High,495452
Individual,High,514399
SME,Low,238967
Instituition,Low,499278
Corporation,High,106439
Instituition,Low,153003
Corporation,Medium,330707
SME,Medium,502362
Instituition,Medium,160122
Instituition,High,476352
Instituition,Medium,439104
Individual,Medium,218201
SME,High,362097
Corporation,Low,309370
SME,High,520629
Corporation,High,34313
Individual,High,528177
Instituition,Low,412349
Instituition,High,284516
Instituition,High,140519
SME,Low,483262
SME,Low,443653
Individual,High,46800
Instituition,Low,485516
Corporation,Low,36657
SME,High,535808
SME,Medium,83604
Instituition,Low,179336
Instituition,High,303171
Corporation,Medium,426660
Individual,Medium,45919
Instituition,High,516958
Individual,Low,547393
Individual,Low,321038
Instituition,High,285721
Corporation,Low,527622
Corporation,Medium,264768
Corporation,Medium,405547
Corporation,Low,391837
Corporation,Medium,366573
Individual,High,587303
Corporation,Low,425519
Individual,High,427941
Instituition,High,460232
Individual,Low,360267
SME,Medium,79252
Individual,Medium,528653
SME,Low,409327
SME,Medium,451171
Instituition,High,363596
Instituition,Low,425620
Corporation,Low,40867
Instituition,Low,196647
SME,Medium,466811
SME,Medium,317929
SME,Low,546086
Instituition,Low,395313
Individual,Low,444192
SME,Medium,115581
SME,Low,93453
Individual,Medium,437464
Instituition,Low,67561
SME,High,29861
Corporation,Low,346281
Instituition,Medium,264736
SME,Low,245807
Corporation,Medium,422329
Instituition,High,452876
Corporation,High,136357
Corporation,Medium,587236
SME,Medium,113441
Individual,Low,219081
Instituition,Low,473467
Instituition,Low,399782
Instituition,High,36260
Corporation,High,80416
Corporation,Medium,109273
Individual,Medium,186167
Individual,Medium,557722
Corporation,Medium,252875
Corporation,Low,129849
SME,High,512282
Corporation,Low,101892
SME,Low,98251
Instituition,Low,120082
Individual,High,376253
Corporation,High,124633
Instituition,Low,38474
SME,Medium,325153
Corporation,Medium,30183
SME,Low,561646
Instituition,High,517520
SME,Medium,584304
Corporation,Medium,582607
Individual,Low,411071
Individual,High,513572
Corporation,High,120419
SME,Low,236402
Instituition,Medium,349743
Instituition,Medium,42349
Instituition,Medium,425166
Instituition,Low,557981
SME,Medium,110922
Individual,Low,535913
SME,Medium,361202
Instituition,Low,122233
SME,Medium,393143
Individual,Low,301968
Instituition,High,54016
Individual,High,130554
Corporation,High,330263
SME,Low,390370
Corporation,High,587493
Instituition,Low,129766
SME,Medium,411547
Instituition,Medium,557585
Corporation,Medium,51435
Instituition,Low,244069
Individual,Low,186584
SME,Medium,466920
Individual,Low,581645
SME,Medium,543136
SME,High,305465
SME,Medium,195404
Corporation,Low,364318
Corporation,Medium,135750
SME,High,422291
SME,Low,91925
Individual,Low,430502
SME,High,567462
SME,Low,466517
Individual,Medium,158210
SME,High,408987
SME,Low,84621
SME,Low,392450
Individual,High,555212
SME,High,499632
Instituition,Medium,88472
Corporation,Medium,230975
Instituition,High,577384
SME,Low,380571
Corporation,Medium,244907
Instituition,Medium,438984
Instituition,Medium,511668
SME,High,108521
Individual,High,82305
Individual,High,556763
Individual,High,115544
Individual,High,517686
Corporation,Medium,323081
Individual,Low,147279
SME,Low,79791
Corporation,Low,559810
SME,Low,95628
Individual,High,384959
Individual,Medium,194327
Corporation,Low,296615
Individual,High,231775
Instituition,High,206476
Individual,Medium,69424
Individual,Medium,504852
Individual,Medium,349888
Individual,High,349987
SME,Low,535590
Corporation,Medium,577498
SME,High,264564
Individual,Medium,583915
Corporation,Medium,145202
Corporation,Medium,453850
SME,Medium,140103
Individual,Low,179884
SME,Medium,581502
SME,Medium,287114
SME,High,449207
Individual,Medium,542487
Individual,Medium,509182
SME,Low,553585
Instituition,Low,366432
Corporation,High,272386
Instituition,High,546213
Instituition,High,507161
SME,High,498112
SME,Low,143922
Instituition,Medium,241772
Corporation,Medium,332762
SME,Low,48998
Corporation,Medium,135009
Individual,High,254912
Instituition,High,242545
Individual,Medium,108877
SME,High,163813
Corporation,Medium,425223
SME,High,516217
SME,Medium,43093
Corporation,High,329303
Individual,Low,271643
Instituition,Low,367587
SME,Low,387562
Corporation,High,221591
Individual,High,157894
Corporation,Medium,470714
Instituition,Medium,424530
Instituition,Low,321536
Instituition,Medium,271762
Instituition,Medium,178553
Corporation,Medium,530543
Corporation,High,307720
Corporation,Medium,129581
Individual,Medium,54141
Instituition,Low,356055
Individual,High,472614
Instituition,High,488141
Instituition,High,176355
SME,High,383027
Corporation,Low,145344
Corporation,Low,130650
Individual,Low,414133
Instituition,Medium,595080
Individual,Medium,502608
Individual,Low,466622
SME,Low,129241
Instituition,Medium,200350
SME,Medium,271163
Corporation,Medium,98852
Individual,Medium,226074
Individual,Low,531025
Individual,Low,268334
Individual,High,468658
Individual,Medium,354216
Instituition,Low,462906
Corporation,Low,251994
Instituition,Medium,371258
Individual,High,251174
Individual,Low,66214
SME,Low,254026
Individual,High,525197
SME,High,496262
Instituition,Low,150791
SME,High,377343
Corporation,High,159928
Individual,High,35043
Individual,Low,415905
Corporation,High,141952
SME,Medium,289465
Instituition,Medium,566747
Instituition,Medium,312353
SME,Low,205249
Instituition,Low,442411
Individual,Low,499098
Instituition,Low,528439
Instituition,Medium,442306
Instituition,High,419926
Instituition,Low,468176
Individual,Low,250830
Individual,Low,522128
SME,High,352887
Individual,Medium,513905
Corporation,Low,106635
SME,Medium,127606
SME,High,449541
Instituition,High,39435
SME,Medium,495308
Corporation,Low,509961
Instituition,Medium,369001
Instituition,Low,571897
Instituition,Medium,312756
SME,Low,180304
SME,High,75828
Individual,Medium,394757
Individual,Medium,349989
Instituition,Medium,26704
SME,Medium,454455
Corporation,High,479051
Corporation,High,598271
Individual,Medium,572193
SME,Low,530195
Individual,Medium,361745
Instituition,Low,277454
Corporation,Low,285219
SME,Medium,448797
Individual,Medium,43050
Instituition,High,545313
Instituition,Low,402103
Individual,Low,158636
Individual,Low,74563
Corporation,Low,129906
Instituition,Medium,526558
Instituition,Low,488902
SME,Medium,313151
SME,Low,30046
Individual,Medium,452706
SME,Low,182536
Corporation,Low,337417
Corporation,Medium,582581
SME,High,477942
SME,High,407698
Instituition,Medium,400466
Individual,Medium,497631
Individual,Medium,522992
SME,Low,130259
Individual,Medium,504826
Corporation,Medium,520405
Corporation,High,55734
Individual,High,185982
SME,Medium,520238
Corporation,High,87392
Corporation,Medium,216761
Instituition,High,592548
SME,Medium,467288
SME,High,516096
Individual,Medium,189017
Corporation,Low,396623
Instituition,Medium,340521
Individual,Medium,72372
Instituition,Medium,438061
Instituition,High,468428
Individual,Low,561521
Instituition,Low,194331
Individual,High,479146
SME,High,132951
SME,High,155462
Individual,High,77776
Instituition,Medium,440489
Individual,High,317349
Instituition,Medium,381565
Individual,Medium,442722
Individual,Low,200257
Corporation,High,404949
Instituition,High,545044
Instituition,Low,365031
Corporation,High,594990
SME,High,129675
Individual,Medium,509206
Individual,Low,35140
Corporation,Low,465761
SME,Low,34339
Corporation,Medium,505867
Corporation,Low,353748
Individual,High,282595
SME,Medium,505069
Individual,Medium,386262
Instituition,Medium,211488
Instituition,Low,93484
Corporation,Low,517946
Instituition,Low,404322
Individual,Medium,256801
Individual,High,448064
Individual,Low,158879
SME,Medium,203712
Individual,Medium,232096
Instituition,High,117676
Corporation,High,151514
Instituition,Medium,314919
SME,Medium,398601
SME,Medium,331251
Corporation,Low,27839
Instituition,Medium,354463
Individual,Medium,184840
Individual,Low,292840
SME,Medium,176757
Corporation,Low,121383
SME,Low,532168
Corporation,Medium,123638
SME,Medium,575543
Individual,High,455202
Corporation,Low,576989
Corporation,Medium,343405
Instituition,Medium,81319
SME,High,119485
Instituition,Low,122300
Instituition,Low,328373
SME,Low,70163
Individual,High,517074
Corporation,High,323919
Individual,High,231586
Instituition,Low,469077
Corporation,Low,321227
SME,Medium,429541
Individual,High,70970
Individual,Low,241347
SME,High,185556
Instituition,High,232297
SME,High,122621
Corporation,Low,555019
Individual,High,418885
SME,Medium,202035
Instituition,Low,460822
Corporation,Low,487606
Instituition,High,394623
Instituition,Medium,588765
Corporation,High,310876
Individual,Medium,427550
SME,High,505395
SME,High,39442
Corporation,Medium,258059
SME,Medium,110781
SME,Medium,144096
Instituition,High,181659
Individual,Medium,103020
Corporation,Medium,135222
Instituition,Medium,56936
Instituition,Low,567766
Corporation,Low,486947
Individual,Low,228169
Instituition,Medium,438448
Instituition,High,309642
Individual,High,168011
Individual,High,387423
SME,Low,175378
SME,High,300812
Corporation,Medium,359149
Corporation,Medium,516679
Instituition,High,331834
Corporation,Low,474239
Instituition,High,253471
SME,High,72338
Corporation,High,576670
Instituition,Medium,341401
Corporation,High,136345
SME,High,104221
Individual,Medium,460107
Corporation,Medium,556695
Corporation,High,212020
SME,High,253174
SME,Medium,457060
SME,Low,150931
Corporation,Low,37160
Corporation,Medium,78816
Corporation,Low,598221
Instituition,High,86070
Corporation,Low,104499
Individual,Low,194667
Corporation,Medium,349651
SME,High,450647
Instituition,Medium,365848
Instituition,Low,406287
Individual,Medium,345598
Individual,High,225409
Instituition,Medium,569720
SME,Low,48211
Corporation,Low,167404
SME,Low,357381
Instituition,Medium,177276
Instituition,Medium,423263
Corporation,Low,63103
Instituition,Medium,141995
SME,Medium,304513
Corporation,Medium,431426
SME,Medium,573369
Instituition,High,395224
Individual,High,476267
Corporation,Low,417687
Individual,High,105672
SME,Medium,130825
SME,High,508555
Corporation,High,364817
Individual,High,520135
Individual,High,457835
SME,High,435768
Corporation,Medium,324282
Individual,High,264766
SME,Low,199502
Instituition,Low,448654
Corporation,High,510688
Individual,Low,96115
SME,Medium,333314
Corporation,High,343960
SME,Low,496541
Corporation,High,328833
Individual,Medium,138362
Instituition,Medium,487423
Individual,High,548078
Instituition,Medium,433332
Instituition,Low,238893
SME,Medium,251391
Instituition,High,584281
Instituition,High,292355
Corporation,Low,154806
Instituition,Medium,322886
Instituition,Low,279489
Corporation,Low,214641
Instituition,Medium,213562
Corporation,Low,491005
Corporation,Low,152209
Corporation,Low,265289
SME,Low,283367
SME,Medium,598274
SME,Low,295802
Instituition,Medium,459364
SME,High,585336
Instituition,Low,257204
SME,High,203336
Corporation,High,141250
Corporation,Medium,335333
Instituition,High,334424
Instituition,High,533723
SME,Low,397048
Individual,Medium,158382
Corporation,High,572521
Corporation,High,119094
SME,Low,540791
Instituition,High,219896
Instituition,Low,371697
SME,Low,235245
Individual,High,264385
Corporation,Low,365949
Instituition,High,530511
Individual,Low,386440
Corporation,High,453783
Corporation,Medium,585693
SME,Low,163652
Individual,Medium,132400
SME,Low,219081
Instituition,High,110306
SME,Low,453877
Individual,Medium,177575
SME,Medium,215975
Individual,Medium,555343
Corporation,High,33781
SME,Medium,470495
Individual,Low,247899
Corporation,Medium,121522
Individual,Low,390521
SME,Low,239527
Instituition,Medium,373297
SME,Medium,433367
SME,High,319489
Corporation,Medium,118747
Instituition,Medium,459217
SME,High,154618
Corporation,Medium,314940
Individual,Low,572594
Individual,High,89994
SME,High,480531
Instituition,Medium,86706
Individual,Low,582519
Instituition,High,568196
Individual,Medium,45142
Instituition,High,428267
Corporation,High,97671
SME,Medium,172452
Individual,Low,409326
Individual,Medium,74838
Individual,Medium,126428
Individual,Medium,279179
Instituition,Low,547549
SME,High,382052
SME,High,213352
Corporation,Low,484449
Individual,Low,566662
Individual,Low,25671
Corporation,High,191226
Corporation,Low,527086
SME,High,589974
Individual,High,137518
Corporation,High,97128
Individual,Low,243929
Corporation,Medium,101725
Instituition,High,269710
Instituition,High,596674
Instituition,Medium,525444
Instituition,Low,92349
Corporation,High,184411
SME,Low,66298
SME,Medium,247786
Individual,Low,142999
SME,High,410835
Individual,High,148730
Instituition,Low,296208
SME,Medium,512365
SME,Low,335895
Instituition,Low,435243
SME,High,138248
Individual,Low,369898
Corporation,Medium,112643
Corporation,High,27940
SME,Low,63854
Individual,Medium,66770
Individual,Low,394756
Instituition,High,457620
Instituition,High,509400
Instituition,Low,365000
SME,High,388137
Corporation,Medium,287068
SME,Medium,35545
SME,Medium,537801
Corporation,Medium,443355
Corporation,Medium,262169
Instituition,High,159786
Individual,Low,383958
Instituition,High,510335
Instituition,Medium,511512
SME,Medium,67256
Corporation,High,227748
Instituition,Low,580807
SME,Medium,131727
Individual,High,408490
SME,High,57443
Instituition,Low,391976
SME,Low,405380
Instituition,Medium,508929
Corporation,Medium,344707
SME,High,250840
Individual,Medium,240868
SME,Medium,227531
Instituition,High,497559
Corporation,Medium,73833
Corporation,High,169829
Individual,Medium,332254
SME,Medium,524179
SME,Low,37757
Individual,Medium,375101
Corporation,Low,78076
Instituition,Medium,354179
SME,High,347690
Individual,High,69835
Corporation,High,404707
Instituition,High,511967
Corporation,High,444224
Individual,High,100231
Individual,High,324583
Individual,Medium,415092
Individual,Low,206343
Instituition,Medium,572145
Instituition,Low,592507
Instituition,High,95883
Corporation,Low,553149
Instituition,Low,313233
Corporation,High,393939
Instituition,Medium,440263
SME,Medium,465893
SME,Low,272068
SME,High,401060
Individual,High,119355
Individual,High,380914
Corporation,Medium,504739
Individual,Medium,183274
Individual,High,178117
Corporation,Medium,584481
SME,High,128927
Individual,Medium,484209
Instituition,Medium,435645
Individual,High,558505
Instituition,High,34004
Corporation,Low,471651
Instituition,Medium,546208
Corporation,High,583068
Individual,High,108739
Instituition,Low,288903
SME,Medium,300167
Individual,High,128438
SME,High,322641
Corporation,Low,412197
Corporation,Low,231341
Corporation,Low,335773
Individual,High,278772
SME,Medium,164891
Corporation,High,340688
Corporation,High,51295
Instituition,Low,504257
Instituition,Low,527987
Corporation,Medium,162061
Instituition,Low,298508
Individual,Medium,470724
Instituition,Medium,469031
Instituition,Medium,589453
Individual,Low,506168
SME,Medium,155304
Instituition,High,430706
Corporation,Low,69334
SME,Medium,397883
SME,Medium,522588
Individual,Medium,61499
Instituition,Medium,305647
Corporation,Low,265562
SME,Medium,557710
SME,High,528302
Corporation,Low,48582
Individual,High,391466
SME,High,107611
Instituition,Low,92599
Individual,High,384964
Corporation,High,395843
Instituition,Medium,384057
Individual,High,580730
Individual,High,293108
Instituition,Low,523504
SME,Medium,529699
Individual,High,367666
Instituition,High,266794
SME,Low,432776
SME,High,253822
Corporation,Medium,568425
Instituition,Low,527098
Instituition,High,116298
Instituition,Medium,518091
SME,Medium,383432
Individual,High,528560
Instituition,Low,260229
Corporation,High,84189
Instituition,Medium,211593
SME,High,257244
Instituition,Low,405589
Corporation,Medium,199581
SME,Low,596953
Corporation,High,171651
Corporation,Medium,126918
Individual,Medium,88978
Corporation,Low,425228
Corporation,Medium,416373
Instituition,Low,597298
Individual,High,429745
Individual,High,25121
Corporation,Medium,469868
Instituition,Medium,595750
Instituition,Low,229351
Individual,High,406746
SME,High,588801
Individual,Low,460403
Individual,Medium,508577
Instituition,Medium,445142
Corporation,Low,351168
Corporation,Low,226109
Instituition,High,325387
Instituition,High,564593
Corporation,High,515399
SME,High,234709
SME,Medium,177620
Instituition,High,379267
Corporation,Low,136005
Individual,High,427266
Instituition,Low,230005
Individual,Low,326089
SME,High,42872
Individual,High,498745
Instituition,High,347936
SME,Medium,412057
Corporation,Medium,436962
Corporation,High,406951
Corporation,Low,402400
SME,High,85618
SME,Medium,159147
Instituition,Medium,304079
Corporation,High,114808
SME,High,425204
SME,Medium,420970
Individual,Medium,553027
SME,High,76706
SME,High,220229
Instituition,Low,434379
Corporation,High,72084
SME,Low,174305
Individual,Medium,169603
Instituition,Low,310966
Instituition,High,341773
Corporation,Medium,451198
SME,High,581478
Instituition,Medium,536322
Corporation,Low,66380
Corporation,High,334566
SME,Low,148435
Instituition,Medium,127977
Instituition,Medium,485307
SME,Medium,143912
Corporation,Low,76706
Individual,Low,393408
Corporation,Medium,206320
SME,High,375225
Individual,High,217729
SME,Low,491919
SME,Low,256574
Instituition,Low,47267
SME,Medium,586314
Corporation,Medium,557406
SME,Medium,499864
Individual,High,151468
SME,Low,396886
SME,High,208309
SME,High,96278
SME,Medium,104868
Instituition,Low,282806
Individual,Low,388322
Corporation,Medium,94767
Corporation,Low,450437
SME,Low,428861
Corporation,High,227366
Individual,Medium,382511
Instituition,Low,486790
Individual,High,53036
Individual,Low,226487
Individual,Medium,218135
SME,Low,224270
Corporation,Medium,435887
Corporation,High,280467
Corporation,High,287215
Instituition,High,74034
Instituition,Medium,156542
Corporation,Medium,91854
Instituition,High,541804
SME,Low,348022
Individual,Low,194803
Individual,Medium,518133
SME,High,448594
Individual,Low,178861
Instituition,Low,463734
Individual,Medium,51244
Individual,High,597738
SME,Low,290133
Individual,High,392302
Instituition,Medium,477851
SME,Low,277519
Instituition,Medium,30632
SME,High,291805
Instituition,Low,164787
SME,High,496153
Corporation,Medium,125574
Corporation,Low,412733
Individual,Low,111271
SME,High,239292
SME,Medium,426658
Instituition,Low,381459
Instituition,Low,479958
Corporation,Low,593161
Instituition,High,487402
SME,Low,263570
Corporation,Low,356327
Individual,Low,264312
Instituition,Low,508056
Instituition,Medium,302965
Individual,Low,29085
Corporation,Medium,484013
Corporation,High,360886
Instituition,Medium,409913
SME,Low,511818
SME,High,28023
Instituition,Low,99723
Corporation,Medium,374533
Corporation,Low,308323
Individual,Low,479059
Instituition,Low,307040
Individual,Medium,331017
Corporation,Medium,516512
Corporation,Medium,290826
Instituition,Medium,422527
Individual,Medium,225458
SME,Low,142320
Instituition,Low,44616
Instituition,Medium,458575
Instituition,Low,467130
Corporation,Low,101152
SME,Medium,554110
Instituition,Low,351594
Instituition,Medium,138921
SME,Medium,539412
Individual,Low,506102
Instituition,Medium,86196
SME,Medium,253888
Corporation,Medium,495915
Instituition,Low,28167
Instituition,High,445372
Corporation,Low,221287
Corporation,Medium,438058
SME,Medium,312615
Instituition,High,577575
Individual,High,525527
Individual,Low,414131
Instituition,High,399822
Corporation,High,462219
SME,Low,586723
Instituition,Low,425739
Individual,High,418650
SME,High,162602
Instituition,High,511781
SME,Low,182333
SME,Low,511644
SME,High,535489
Individual,Medium,497076
SME,Medium,454272
Individual,High,278685
SME,High,175516
Instituition,Low,558390
Corporation,Low,44646
Corporation,High,237489
SME,Medium,400184
Instituition,Medium,444433
Corporation,Low,276785
SME,Low,386490
Corporation,Medium,521132
Instituition,Low,81781
Individual,Medium,427718
Corporation,High,129149
Individual,Medium,426882
SME,High,65372
SME,High,461050
Instituition,Low,199875
Instituition,Low,322503
Corporation,High,80141
Individual,High,478548
SME,Low,500123
Corporation,Medium,391211
Individual,High,297752
SME,Low,240999
Corporation,Low,278463
SME,Low,133679
Instituition,Low,298146
Instituition,Low,502035
Individual,Medium,153916
Corporation,Low,148150
Corporation,Medium,398066
Instituition,Low,28663
Instituition,Low,288169
Instituition,High,574969
Individual,Medium,197622
SME,High,523384
Individual,High,251640
SME,Low,378981
Individual,Low,309967
SME,Low,332297
Individual,Medium,571312
Instituition,High,123563
Instituition,High,554055
Individual,Low,77561
Instituition,Medium,490541
Corporation,Low,89405
SME,High,261400
Individual,High,52404
Instituition,Medium,376413
Corporation,High,419870
Corporation,Medium,580987
Individual,High,66545
Corporation,Low,144430
Corporation,Medium,469955
Instituition,Low,491030
Individual,High,93129
SME,Low,93866
Individual,Medium,330539
SME,Low,558722
Corporation,High,435582
Individual,Medium,497432
Individual,Low,421994
Corporation,Medium,386243
Individual,Medium,186247
SME,Medium,358637
Corporation,Medium,366071
Individual,High,457892
Instituition,Medium,574361
SME,Medium,391193
Corporation,Medium,248484
Instituition,High,475207
SME,Low,355998
Individual,Medium,572096
Corporation,Medium,72273
Corporation,Low,469556
Individual,High,53857
SME,Medium,363690
Corporation,Medium,444495
Corporation,Medium,265932
SME,Medium,200412
Instituition,Medium,442001
Individual,Medium,75881
SME,Medium,395690
Corporation,Medium,457357
SME,Medium,535308
SME,High,305241
Individual,Low,47029
Instituition,Medium,198692
Instituition,High,352257
SME,High,258333
SME,Medium,504184
Corporation,Low,132289
Individual,Medium,115383
Corporation,High,262348
Instituition,Low,173053
Instituition,Low,411233
Instituition,Low,130194
SME,Medium,443565
Instituition,High,87869
Corporation,Medium,238477
Individual,High,392233
Individual,Medium,242053
Instituition,Low,211802
Instituition,Medium,168349
Corporation,Medium,307989
Instituition,Medium,538233
Instituition,Medium,285096
Individual,Low,177980
SME,Low,382568
Instituition,Low,440702
SME,High,136470
SME,Medium,80670
Instituition,Low,435487
Instituition,Low,273898
Corporation,High,337167
SME,Low,74648
Individual,Medium,404077
SME,High,234532
Individual,Medium,503086
SME,Low,147832
Instituition,High,530517
Corporation,High,265737
Corporation,Low,287749
SME,Low,111525
Corporation,Low,553443
Individual,Medium,63519
Instituition,Low,393877
SME,Medium,61538
Instituition,Medium,594482
Instituition,High,430306
Corporation,High,563637
Individual,High,358252
Instituition,High,212271
Individual,High,33506
SME,High,85166
SME,High,424925
Instituition,Medium,216834
Corporation,Medium,191897
SME,Medium,323085
Corporation,High,513304
SME,Medium,195375
Individual,Medium,328875
Corporation,Low,123893
SME,High,453994
Individual,High,261989
Instituition,High,404630
Corporation,Low,205776
Instituition,Medium,552018
SME,Medium,482200
Instituition,Medium,155619
SME,Medium,236529
Individual,Medium,536135
SME,Low,132267
Corporation,Medium,421062
Instituition,High,426967
Corporation,High,141417
Corporation,Medium,468246
Individual,Low,294309
Corporation,Medium,116834
SME,Low,486530
Corporation,Low,554213
SME,Medium,504955
Individual,High,144021
Instituition,Low,78269
Corporation,Low,384161
Corporation,High,495505
SME,High,500425
SME,Low,358663
SME,High,136740
Corporation,Medium,191950
Individual,Medium,176078
Individual,Medium,100419
SME,Low,298485
Individual,Medium,524305
Instituition,Low,200310
Instituition,High,164757
Corporation,Medium,130121
Instituition,Medium,381015
SME,High,192851
Individual,Medium,437681
Corporation,Medium,121593
SME,Medium,62215
Corporation,Low,453274
Instituition,Low,188365
Corporation,High,27029
SME,Low,78252
Individual,Low,30067
Instituition,High,364179
Instituition,Medium,589629
Corporation,High,465752
SME,Low,478382
Corporation,High,65792
Instituition,Medium,359720
SME,Low,147741
Individual,Low,365445
Instituition,High,172564
Corporation,Medium,474299
